Name,Address,Phone,Rating,AvgCost,Popular Dishes,Location,Pizza,Fast Food,Pasta,Beverages,Desserts,Rolls,North Indian,Chinese,Momos,Street Food,Biryani,South Indian,Mithai,Wraps,Burger,Bakery,Tea,Sandwich,Mughlai,Kebab,Hyderabadi,Healthy Food,Salad,Coffee,Lucknowi,Sichuan,Continental,American,Tibetan,Maharashtrian,Andhra,Cafe,Asian,Shake,Italian,Seafood,Kerala,Ice Cream,Mexican,Juices,cuisine_tag_count,good service,Dine-in,hygiene,delivery,good food,Ambiance,Value For Money,packaging,healthy,review_tags_count,cluster_description,clusters
Pizza Hut,"17 & 18, Corner Market, Malviya Nagar, New Delhi",918929647587,3.7,800,None,South Delhi,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,Low Rating and High Cost,2
RollsKing,"Shop 2, 10/127, Malviya Nagar, New Delhi",919560101636,3.9,300,None,South Delhi,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,Low Rating and Medium Cost,5
Punjabi Angithi,"84, Ground Floor, Left Corner, Behind Hero Showroom, Shri Aurbindo Marg, Adchini, New Delhi",911149952492,4.0,200,Chilly Momo|Veg Noodles|Dal|Momos|,South Delhi,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,Low Rating and Low Cost,3
Chicago Pizza,"8-A, Hauz Khas Village, New Delhi",919540937301,3.7,700,Paneer Delight Pizza|Chicago Pizza|Pizzas|Drink|,South Delhi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,Low Rating and High Cost,2
BOX8 - Desi Meals,"F5, Ground Floor, Gautam Nagar, Gulmohar Park Road, Hauz Khas, New Delhi",918068172526,4.3,250,None,South Delhi,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,High Rating and Low Cost,1
Masala Kitchen,"92-G/1, Partap Market, Munirka, New Delhi",911126108509,3.8,350,Aloo Jeera|Deluxe Thali|Chole|Malai Chaap|Raita|Rice|,South Delhi,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,Low Rating and Medium Cost,5
Bikanervala,"Satya Marg, Yashwant Place Commercial Complex, Chanakyapuri, New Delhi",911124100219,4.2,500,Deluxe Thali|Kachori|Samosa|Sweets|Chole Bhature|Snacks|,South Delhi,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,High Rating and Medium Cost,0
Domino's Pizza,"S-27, Ground Floor, Main Market, Green Park, New Delhi",911141033574,3.8,400,None,South Delhi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,Low Rating and Medium Cost,5
Faasos - Wraps & Rolls,"Shop G-1B, K84, Ashirwad Complex, Green Park, New Delhi",917700020020,4.2,200,Chicken Wrap|Wraps|Rolls|Biryani|,South Delhi,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,High Rating and Low Cost,1
Kwality Walls Frozen Dessert and Ice Cream Shop,"House 88, Ground Floor R/S Humayunpur, Safdarjung, New Delhi",917982630466,4.3,100,None,South Delhi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Rating and Low Cost,1
Burger King,"Shop 102, First Floor, DLF South Square, Sarojini Nagar, New Delhi",919899391814,4.1,400,Italian Fries|Fried Cheese|Ice Cream Sundae|Burgers|,South Delhi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,High Rating and Medium Cost,0
Bakingo,"141 B, Ground Floor, Shahpur Jat, New Delhi",919599450038,4.1,350,Butterscotch Pastry|Chocolate Truffle|Pastries|Red Velvet Cake|Cakes|,South Delhi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,High Rating and Medium Cost,0
Chaayos Chai+Snacks=Relax,"Shop 1, S 23, Ground Floor, Main Market, Green Park, New Delhi",919599598307,4.0,300,Bun Bhujia|Cheese Chilli Toast|Poha|Pav Bhaji|,South Delhi,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,Low Rating and Medium Cost,5
Nazeer Foods,"C-5, Ground Floor, Main Market, Malviya Nagar, New Delhi",919891747171,3.9,600,Chicken Taka Tak Roll|Mutton Nahari|Firni|Afghan Chicken|Khameeri Roti|Chicken Spring Roll|,South Delhi,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,High Rating and High Cost,4
Burger Singh - Big Punjabi Burgers,"Building 288, Ground Floor, Satya Niketan, Moti Bagh, New Delhi",919891055376,4.2,150,None,South Delhi,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Rating and Low Cost,1
The Betel Leaf Co - Originally from Bangalore,"129 A, Near Purana Shiv Mandir, Shahpur Jat, New Delhi",916366681111,4.0,200,None,South Delhi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low Rating and Low Cost,3
Biryani Blues,"Building 2, Ground Floor, Corner Market, Maharishi Dayanand Marg, Malviya Nagar, New Delhi",918010801000,4.1,400,Chocolate Cup|Masala Paneer|Chicken Tenders|Authentic Hyderabadi Biryani|Mirchi Ka Salan|Paneer Biryani|,South Delhi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,High Rating and Medium Cost,0
KFC,"Shop DSS 24, 25, 26, 27, 28, 29, Ground Floor, DLF South Square, Sarojini Nagar, New Delhi",918042754444,3.9,400,None,South Delhi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Low Rating and Medium Cost,5
Biryani By Kilo,"250, Shahpur Jat, New Delhi",919212199888,4.2,450,Mutka Phirni|Mirch Ka Saalan|Veg Galouti Kebab|Hyderabadi Chicken|Hyderabadi Veg Biryani|Kolkata Chicken Biryani|,South Delhi,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,High Rating and Medium Cost,0
Subway,"C 8, SDA Market, Opposite IIT Main Gate, SDA, New Delhi",911146232200,3.8,400,Customizable submarine sandwiches and salads|,South Delhi,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,Low Rating and Medium Cost,5
McDonald's,"109 & 110, Ground & 1st Floor, DLF South Square, Sarojini Nagar, New Delhi",917838006400,4.2,0,Classic Burgers and Fries|,South Delhi,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,High Rating and Low Cost,1
Behrouz Biryani,"Green Park, New Delhi",917700050050,4.2,500,Mint Raita|Briyani|Gulab Jamun|Dessert|,South Delhi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,High Rating and Medium Cost,0
Saturn Express,"77 B, Humayunpur, Safdarjung, New Delhi",911126715111,4.1,200,Chicken Tandoori Sandwich|Panneer Butter Masala|Butter Roti|Dal Makhani|Butter Naan|Butter Chicken|,South Delhi,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,High Rating and Low Cost,1
Haldiram's,"R-11, Plot 11, Block-R, Uphaar Complex, Main Market, Green Park, New Delhi",918376846772,4.1,450,None,South Delhi,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,High Rating and Medium Cost,0
Wendy's,"AB-9A, 2nd Floor, Safdarjung Enclave Market, Hauz Khaz, Safdarjung, New Delhi",919152987612,4.0,200,None,South Delhi,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low Rating and Low Cost,3
Theobroma,"Shop 2, C 11, Ground Floor, Mezzanine Floor, Safdurjung Development Area, Community Centre, SDA, New Delhi",918182881881,4.4,300,Millionaire Brownie|Opium Pastry|Cookie Brownie|Hazelnut Mousse|Chocolate Walnut|Walnut Brownie|,South Delhi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,High Rating and Medium Cost,0
WOW! Momo,"8-A, Hauz Khas Village, New Delhi",919147116042,4.1,400,Momos Augratin|Chocolate Momo|Momo Burger|Schezwan Chicken|Sizzlers|Veg Momos|,South Delhi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,High Rating and Medium Cost,0
Jhakkas Bombay Pav Bhaji,"E-20, Shree Krishna Mandir, Central Market, Lajpat Nagar 1, New Delhi",919818181829,4.0,200,None,South Delhi,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,Low Rating and Low Cost,3
Bikkgane Biryani,"252, 2nd Floor, Shahpur Jat, New Delhi",911140192919,3.9,0,Extensive range of Hyderabadi biryanis and array of tikkas|kebabs|and curries to choose from|,South Delhi,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Low Rating and Low Cost,3
La Pino'z Pizza,"HPCL Evergreen Service, Station Mehrauli Road, Green Park, New Delhi",919319029187,3.9,200,None,South Delhi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low Rating and Low Cost,3
RP's Rice Bowlz,"50 D, Savitri Nagar, Main Road, Malviya Nagar, New Delhi",919654848584,3.9,200,Standard Thali|Deluxe Veg Thali|Paneer Parantha|Chicken Tikka Masala|Rice Bowl|Rajma|,South Delhi,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,Low Rating and Low Cost,3
Sagar Ratna,"Ground Floor, DLF South Square, Sarojini Nagar, New Delhi",919971481424,4.0,600,None,South Delhi,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,High Rating and High Cost,4
The Burger Club,"1st Floor, DLF South Square, Sarojini Nagar, New Delhi",919560349272,3.9,700,Club Burger|Spicy Chicken|French Fries|Chicken Burger|Cheesy Fries|Burgers|,South Delhi,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,High Rating and High Cost,4
Burger Singh - Big Punjabi Burgers,"194, Pocket D-14, TF Block, Sector 7, Rohini, New Delhi",918767121212,4.0,150,None,North Delhi,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,Low Rating and Low Cost,3
McDonald's,"Shop GA-1 & GA- 3, Ground Floor, Metro Walk Mall, Sector 10, Rohini, New Delhi",919899974396,4.1,400,None,North Delhi,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,High Rating and Medium Cost,0
BTW,"1, Garg Trade Center, Sector 11, Rohini, New Delhi",911142331777,3.9,400,Badam Milkshake|Matar Kulcha|Pao Bhaji|Chole|Platter|Snacks|,North Delhi,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,Low Rating and Medium Cost,5
Berco's - If You Love Chinese,"GA-06, Metro Walk Mall, Rohini, New Delhi",919311777663,4.0,900,Butter Pepper Garlic Noodles|Crispy Prawns|Panfried Noodles|Barbeque Chicken|Crispy Chilli Potatoes|Singapori Noodles|,North Delhi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,High Rating and High Cost,4
Billu's Hut,"G 28, Aggarwal Millenium Tower, Netaji Subhash Place, New Delhi",919773921114,3.9,200,Roadside Pasta|Mozzarella Sandwich|Maggie Pasta|Schezwan Pasta|White Sauce Cheese Pasta|Belgian Shake|,North Delhi,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Low Rating and Low Cost,3
