Name,Address,Phone,Rating,AvgCost,Known For,Popular Dishes,Cuisine,Reviews,Location
24 Seven Tawa & Tandoor,"D-25, Ist Floor, Chankya Place, Uttam Nagar, Sector 2, Dwarka, New Delhi",+919313550126,3.7,250,Comfortable Seating|Delivery Time|Good Quantity|Good Taste|Amazing Taste|Portion|,Soya Chaap Masala|Panneer Butter Masala|Handi Chicken|Chilli Potatoes|Chicken Curry|Roti|,North Indian|Rolls|Chinese|Momos|Biryani|,Soya Chaap Masala|Panneer Butter Masala|Handi Chicken|Chilli Potatoes|Chicken Curry|Roti|Comfortable Seating|Delivery Time|Good Quantity|Good Taste|Amazing Taste|Portion|,West Delhi
Dhaba Food,"129, MPL Plcae Circus, Near Super Bazar, Connaught Place, New Delhi",+919971559206,4.4,100,Value for Money|Price|Good Food|Timely Service|Quantity|Delicious Food|,Chole Rice|Rajma Chawal|Papad|Lassi|Chole Bhature|,North Indian|Beverages|,Chole Rice|Rajma Chawal|Papad|Lassi|Chole Bhature|Value for Money|Price|Good Food|Timely Service|Quantity|Delicious Food|,Central Delhi
Radhey Shyam Subhash Kumar Special Chole Bhature,"Shop 7, Amrit Kaur Market, Opposite New Delhi Railway Station, Paharganj, New Delhi",+919811103164,4.3,100,Breakfast|Great Taste|Spill Proof Packaging|Worth the Money|Great Portions|Packing|,,North Indian|,Breakfast|Great Taste|Spill Proof Packaging|Worth the Money|Great Portions|Packing|,Central Delhi
Domino's Pizza,"M 42, Connaught Place, New Delhi",+911146564906,4.1,400,Chirpy Crowd|Drive through|Economical|Cute Little Place|Excellent Location|Fair Prices|,Veg Extravaganza Pizza|Deluxe Veggie Pizza|Veggie Paradise|Calzone Pockets|Stuffed Garlic Bread|Farmhouse Pizza|,Pizza|Fast Food|,Dining|Delivery|Veg Extravaganza Pizza|Deluxe Veggie Pizza|Veggie Paradise|Calzone Pockets|Stuffed Garlic Bread|Farmhouse Pizza|Chirpy Crowd|Drive through|Economical|Cute Little Place|Excellent Location|Fair Prices|,Central Delhi
Bikkgane Biryani,"P-2/90, Opposite PVR Rivoli, Connaught Place, New Delhi",+918929240883,4.0,0,Kaju Chicken|Tangdi Chicken|Gulab Jamun Bomb|Hyderabadi Chicken|Veg Handi Biryani|Gobi Manchurian|,Extensive range of Hyderabadi biryanis and array of tikkas|kebabs|and curries to choose from|,Biryani|North Indian|Mughlai|Hyderabadi|Andhra|,Dining|Delivery|Kaju Chicken|Tangdi Chicken|Gulab Jamun Bomb|Hyderabadi Chicken|Veg Handi Biryani|Gobi Manchurian|Family Place|Loved it|Unique Menu|Great Value|Good Value|Fast Delivery Service|,Central Delhi
Bangla Foods,"111-113, Bangla Sahib Marg, Gole Market, New Delhi",+911123361246,4.1,300,Not very Crowded|Elegantly Decorated|Inexpensive|Cleanliness|Prompt Service|Decent Place|,Honey Chilli Potatoes|Noodle|Pastries|Pav Bhaji|Chole Bhature|Dosa|,North Indian|South Indian|Fast Food|Street Food|Chinese|,Dining|Delivery|Honey Chilli Potatoes|Noodle|Pastries|Pav Bhaji|Chole Bhature|Dosa|Not very Crowded|Elegantly Decorated|Inexpensive|Cleanliness|Prompt Service|Decent Place|,Central Delhi
La Pino'z Pizza,"Shop 2, Old Rajinder Nagar Market, Karol Bagh, New Delhi",+919312259224,3.9,500,,,,Dining|Delivery|,Central Delhi
Punjabi Angithi,"Shop 27, Ground Floor, DDA Market, CSC Satyawati Colony, Ashok Vihar Phase 3, New Delhi",+919667790777,4.1,200,Quantity and Quality of Food|Pocket Friendly Place|Decent Prices|Best Services|Food Packaging|Hygienic Food|,Palak Kofta|Tawa Chaap Masala|Tandoori Chaap|Veg Hakka Noodles|Paneer Tikka Masala|Paneer Lababdaar|,North Indian|Chinese|Rolls|Momos|Street Food|,Palak Kofta|Tawa Chaap Masala|Tandoori Chaap|Veg Hakka Noodles|Paneer Tikka Masala|Paneer Lababdaar|Quantity and Quality of Food|Pocket Friendly Place|Decent Prices|Best Services|Food Packaging|Hygienic Food|,Central Delhi
Nathu's Pastry Shop,"12 & 13, Bengali Market, Mandi House, New Delhi",+919654892255,4.0,400,Seating Arrangement|Food Presentation|Great Place|Good Place|Prices|Staff|,Veg Puff|Chicken Patties|Eclair|Croissant|Pastries|Cookies|,Bakery|Pizza|Fast Food|Beverages|,Dining|Delivery|Veg Puff|Chicken Patties|Eclair|Croissant|Pastries|Cookies|Seating Arrangement|Food Presentation|Great Place|Good Place|Prices|Staff|,Central Delhi
Saravana Bhavan,"50, Atul Grove Road, Janpath, New Delhi",+911123317755,4.3,600,Authentic South Indian food|,,South Indian|Desserts|Juices|Beverages|,Dining|Delivery|,Central Delhi
Shudh Annapurna,"T2506, Elahi Baksh Road, Near Faiz Road, Karol Bagh, New Delhi",+911143643436,4.1,100,Great Recommendations|Spill Proof Packaging|Nice Food|Contactless Delivery|Great Taste|Quality Food|,Vegetable Chowmein|Fruit Cream|Lacha Paratha|Special Thali|Shahi Paneer|Dal Makhni|,North Indian|Chinese|South Indian|Beverages|,Vegetable Chowmein|Fruit Cream|Lacha Paratha|Special Thali|Shahi Paneer|Dal Makhni|Great Recommendations|Spill Proof Packaging|Nice Food|Contactless Delivery|Great Taste|Quality Food|,Central Delhi
Nazeer Foods,"M-42, Connaught Place, New Delhi",+919899241401,3.9,600,Economical|Sitting|Polite Staff|Portion|Main Course|Price|,,North Indian|Mughlai|Biryani|Fast Food|Beverages|Desserts|,Dining|Delivery|Economical|Sitting|Polite Staff|Portion|Main Course|Price|,Central Delhi
Biryani By Kilo,"N 79, 1st Floor, Pratap Building, N Block, Connaught Circle, Near Connaught Place, New Delhi",+919555212212,4.1,800,Good Food and Good Service|Relaxed Atmosphere|Gastronomical Experience|Comfortable Seating Area|Packed on Weekends|Good Hospitality|,Matka Phirni|Mutton Hyderabadi Biryani|Non Veg Biryani|Kolkata Chicken Biryani|Chicken Ghee Roast|Firni|,Biryani|Hyderabadi|North Indian|Kebab|Mughlai|Desserts|,Dining|Delivery|Matka Phirni|Mutton Hyderabadi Biryani|Non Veg Biryani|Kolkata Chicken Biryani|Chicken Ghee Roast|Firni|Good Food and Good Service|Relaxed Atmosphere|Gastronomical Experience|Comfortable Seating Area|Packed on Weekends|Good Hospitality|,Central Delhi
Jain Chawal Wale,"P 1/90, Connaught Circus, Connaught Place, New Delhi",+919911177118,4.0,450,Intimate Seating|Packed on Weekends|Fancy Crowd|Reasonable Rates|Friendly Place|Meals|,Shahi Paneer Chawal|Salted Lassi|Soya Masala|Kadhi Chawal|Kadi Rice|Tawa Paratha|,North Indian|Chinese|Street Food|Beverages|,Dining|Delivery|Shahi Paneer Chawal|Salted Lassi|Soya Masala|Kadhi Chawal|Kadi Rice|Tawa Paratha|Intimate Seating|Packed on Weekends|Fancy Crowd|Reasonable Rates|Friendly Place|Meals|,Central Delhi
The Dhaba Junction,"14 A/22 Ground Floor, WEA, Karol Bagh, New Delhi",+911140349119,3.5,600,Cutlery|Good Wifi|Good Music|Elaborate Menu|Fresh Food|Customizable Food|,,Mughlai|Fast Food|North Indian|Beverages|Chinese|,Dining|Delivery|Cutlery|Good Wifi|Good Music|Elaborate Menu|Fresh Food|Customizable Food|,Central Delhi
Aashirwad Restaurant,"B-31/125, Gali 4, Mangal Bazar Road, Guru Nanak Pura, Laxmi Nagar, New Delhi",+919821901135,3.8,150,,,North Indian|Chinese|,,Central Delhi
Behrouz Biryani,"Shop 30, Gandhi Market, Minto Road, Connaught Place, New Delhi",+917700050050,4.0,500,Great Taste|Flavour|Packing|Good Food|Good Quality|,Paneer Subz Biryani|Bhuna Chicken|Gulab Jamun|Mutton|,Biryani|Kebab|Hyderabadi|Lucknowi|,Paneer Subz Biryani|Bhuna Chicken|Gulab Jamun|Mutton|Great Taste|Flavour|Packing|Good Food|Good Quality|,Central Delhi
Starbucks Coffee,"A-1, Hamilton House, Inner Circle, Connaught Place, New Delhi",+919311592951,3.9,800,Free Wifi|Cozy Ambience|Great Interiors|Huge Place|Calm|Great Location|,Caramel Frappucino|Iced Vanilla Latte|Vanilla Frappe|Java Chip Frappuccino|Caramel Macchiato|Wonderful Coffee|,,Dining|Delivery|Caramel Frappucino|Iced Vanilla Latte|Vanilla Frappe|Java Chip Frappuccino|Caramel Macchiato|Wonderful Coffee|Free Wifi|Cozy Ambience|Great Interiors|Huge Place|Calm|Great Location|,Central Delhi
Bikanervala,"1st Floor, Rajiv Gandhi Handicraft Bhavan, Baba Kharak Singh Marg, Connaught Place, New Delhi",+919717744986,3.8,500,Good for Families|Parking Space Available|Delivery Person|Family Crowd|Quick Service|Good Ambience|,Raj Kachori|Deluxe Thali|Rasmalai|Noodle|Pav Bhaji|Chole|,Mithai|North Indian|Chinese|Fast Food|Street Food|Desserts|Beverages|,Dining|Delivery|Raj Kachori|Deluxe Thali|Rasmalai|Noodle|Pav Bhaji|Chole|Good for Families|Parking Space Available|Delivery Person|Family Crowd|Quick Service|Good Ambience|,Central Delhi
Nizam's Kathi Kabab,"Shop 7 & 8, Corner Market, Malviya Nagar, New Delhi",+911141082600,4.3,500,Good Ambience|Awesome Food|Hygiene|Courteous Staff|Main Course|Great Taste|,Double Chicken Double Egg Roll|Keema Roll|Kathi Rolls|Kabab|Mutton Biryani|Chutney|,North Indian|Mughlai|Rolls|Kebab|Beverages|,Dining|Delivery|Double Chicken Double Egg Roll|Keema Roll|Kathi Rolls|Kabab|Mutton Biryani|Chutney|Good Ambience|Awesome Food|Hygiene|Courteous Staff|Main Course|Great Taste|,Central Delhi
Subway,"P 3/90, Baba Kharak Singh Marg, Opposite Rivoli Cinema, Connaught Place, New Delhi",+919311994106,4.0,400,Music Choice|Air Conditioning|Trained Staff|Comfort Food|Polite Staff|Healthy Food|,Customizable submarine sandwiches and salads|,Healthy Food|Fast Food|Sandwich|Salad|Wraps|Beverages|,Dining|Delivery|Music Choice|Air Conditioning|Trained Staff|Comfort Food|Polite Staff|Healthy Food|,Central Delhi
Pizza Hut,"17A/54, Ground Floor, W.E.A., Tank Road, Karol Bagh, New Delhi",+918447106305,3.6,800,,,,Dining|Delivery|,Central Delhi
Biryani Badshah,"Shop 2/90, C Circus, Connaught Place, New Delhi",+911141516628,4.0,400,Comfortable Seating Area|Amazing Prices|Good for Large Groups|Themed Decor|Fast Delivery Service|Prompt Delivery|,Andhra Prawn Fry|Panner Biryani|Biryani Combo Meal|Chicken Chettinadu|Murgh Malai|Mutton Boneless Biryani|,Biryani|North Indian|Mughlai|Hyderabadi|Andhra|,Dining|Delivery|Andhra Prawn Fry|Panner Biryani|Biryani Combo Meal|Chicken Chettinadu|Murgh Malai|Mutton Boneless Biryani|Comfortable Seating Area|Amazing Prices|Good for Large Groups|Themed Decor|Fast Delivery Service|Prompt Delivery|,Central Delhi
Bagundi Andhra Kitchen,"M-14, Outer Circle, Opposite Fire Station, Connaught Place, New Delhi",+911140509889,4.1,800,Everything was very Good|Themed Decor|Ample Seating Area|Good for Large Groups|Packed on Weekends|Authentic Food|,Crab Fry|Guntur Idli|Andhra Fish Fry|Fry Prawns|Anda Curry|Chicken Thali|,South Indian|Biryani|Andhra|Hyderabadi|,Dining|Delivery|Crab Fry|Guntur Idli|Andhra Fish Fry|Fry Prawns|Anda Curry|Chicken Thali|Everything was very Good|Themed Decor|Ample Seating Area|Good for Large Groups|Packed on Weekends|Authentic Food|,Central Delhi
Wat-A-Burger - India Ka Burger,"A 25, Ground Floor, Connaught Place, New Delhi",+919667743244,3.9,350,Weekend Brunch|Good Wifi|Student Crowd|Elaborate Menu|Young Crowd|Customizable Food|,,Burger|Sandwich|Fast Food|Desserts|Beverages|Shake|,Dining|Delivery|Weekend Brunch|Good Wifi|Student Crowd|Elaborate Menu|Young Crowd|Customizable Food|,Central Delhi
La Milano Pizzeria,"11A/19, Ground Floor, Rajinder Nagar, New Delhi",+917310399991,3.7,300,,,,Dining|Delivery|,Central Delhi
McDonald's,"N-10, Outer Circle, Connaught Place, New Delhi",+918588839324,4.3,0,Mcspicy Paneer|Mc Chicken|Mc Veggie|Mcaloo Tikki|Loaded Fries|French Fries|,Classic Burgers and Fries|,Burger|Fast Food|Beverages|Coffee|,Dining|Delivery|Mcspicy Paneer|Mc Chicken|Mc Veggie|Mcaloo Tikki|Loaded Fries|French Fries|Office Crowd|Economical|Great Ambiance|Cleanliness|Polite Staff|Friendly Place|,Central Delhi
Haldiram's,"70, Janpath, New Delhi",+918588027405,4.1,400,Comforting Atmosphere|Contactless Delivery|Wonderful Presentation|Prices|Extensive Menu|Timely Service|,,South Indian|North Indian|Street Food|Chinese|Beverages|Desserts|,Dining|Delivery|Comforting Atmosphere|Contactless Delivery|Wonderful Presentation|Prices|Extensive Menu|Timely Service|,Central Delhi
Biryani Blues,"Showroom 9, Scindia House, Connaught Circus, Connaught Place, New Delhi",+918010801000,4.1,400,Gastronomical Experience|Themed Decor|Serving Size|More Variety|Prime Location|Staff Service|,Lamb Briyani|Chicken Nizami|Paneer65|Biryani Ka Badshah|Chicken65|Mirch Ka Salan|,Biryani|Kebab|Desserts|,Dining|Delivery|Lamb Briyani|Chicken Nizami|Paneer65|Biryani Ka Badshah|Chicken65|Mirch Ka Salan|Gastronomical Experience|Themed Decor|Serving Size|More Variety|Prime Location|Staff Service|,Central Delhi
Khan Chacha,"D-3, Connaught Place, New Delhi",+919205592804,4.2,500,Nice Crowd|Sitting Area|Great Ambiance|Prompt Service|Polite Staff|Low Price|,Chicken Tikka Roomali Roll|Kathi Rolls|Chicken Seekh|Kababs|Phirni|Mutton Seekh|,North Indian|Mughlai|Rolls|,Dining|Delivery|Chicken Tikka Roomali Roll|Kathi Rolls|Chicken Seekh|Kababs|Phirni|Mutton Seekh|Nice Crowd|Sitting Area|Great Ambiance|Prompt Service|Polite Staff|Low Price|,Central Delhi
Annie's Kerala Kitchen,"23/1, Main Market, East Patel Nagar, New Delhi",+918826004462,3.8,600,,,Kerala|Chinese|Biryani|Seafood|South Indian|,Dining|Delivery|,Central Delhi
Burger Singh - Big Punjabi Burgers,"H-45, Connaught Place, New Delhi",+918767121212,4.2,400,Casual Seating Area|Clean Place|Cheap|Good Crowd|Combos|Cozy Place|,Macho Burger|Jeera Soda|Potato Crunch|Chicken Bbq Wings|Keema Curry|Spicy Fries|,Burger|Momos|Fast Food|,Dining|Delivery|Macho Burger|Jeera Soda|Potato Crunch|Chicken Bbq Wings|Keema Curry|Spicy Fries|Casual Seating Area|Clean Place|Cheap|Good Crowd|Combos|Cozy Place|,Central Delhi
Pind Balluchi,"1/3, Scindia House, Janpath, New Delhi",+919910629368,4.0,400,Ample Seating Area|Good for Large Groups|Cleanliness|Good Value|Great Value|Atmosphere|,Dal Balluchi|Soya Chaap Gravy|Kadhai Paneer Thali|Mushroom Kurkure|Tandoori Butter Roti|Mixed Vegetables|,North Indian|Mughlai|Kebab|Desserts|,Dining|Delivery|Dal Balluchi|Soya Chaap Gravy|Kadhai Paneer Thali|Mushroom Kurkure|Tandoori Butter Roti|Mixed Vegetables|Ample Seating Area|Good for Large Groups|Cleanliness|Good Value|Great Value|Atmosphere|,Central Delhi
KFC,"A 12, Inner Circle, A Block, Connaught Place, New Delhi",+918042754444,4.2,400,Affordable Food|Casual Seating Area|Not very Crowded|Air Conditioning|Elegantly Decorated|Seating Capacity|,Choco Lash|Lemon Mojito|Chicken Zinger|Zinger Burger|Chicken Bucket|Hot Wings|,Burger|Fast Food|,Dining|Delivery|Choco Lash|Lemon Mojito|Chicken Zinger|Zinger Burger|Chicken Bucket|Hot Wings|Affordable Food|Casual Seating Area|Not very Crowded|Air Conditioning|Elegantly Decorated|Seating Capacity|,Central Delhi
The Burger Club,"2, Arya Samaj Road, Karol Bagh, New Delhi",+911140110180,4.0,700,Nice Staff Behavior|Ambience and Service|Good Food Good Quality|Staff very Polite|Office Crowd|Drive through|,Chocolate Blast|Devilled Chicken|Burgerking Burger|Coffee Frappuccino|Club Burger|Iced Mocha|,Cafe|Coffee|Burger|Fast Food|Beverages|,Dining|Delivery|Chocolate Blast|Devilled Chicken|Burgerking Burger|Coffee Frappuccino|Club Burger|Iced Mocha|Nice Staff Behavior|Ambience and Service|Good Food Good Quality|Staff very Polite|Office Crowd|Drive through|,Central Delhi
Punjab Sweet Corner,"15-A/65, Ajmal Khan Road, Karol Bagh, New Delhi",+911125755982,4.1,350,Chirpy Crowd|Bang for the Buck|Cleanliness|Serving Size|Very Affordable|Street Food|,Poori Chole|Deluxe Thali|Golgappe|Kheer|Pav Bhaji|Chaat|,North Indian|Fast Food|South Indian|Beverages|Desserts|Chinese|,Dining|Delivery|Poori Chole|Deluxe Thali|Golgappe|Kheer|Pav Bhaji|Chaat|Chirpy Crowd|Bang for the Buck|Cleanliness|Serving Size|Very Affordable|Street Food|,Central Delhi
Chinese Hut,"3/48, Double Storey, Central Road, Jangpura, New Delhi",+919891038626,4.1,150,,,Chinese|Momos|Rolls|,,Central Delhi
Apni Rasoi,"F 18, Hudson Lane, Opposite NDPL Office, Vijay Nagar, New Delhi",+918527896213,4.0,350,Inexpensive|Good Crowd|Food Delivery|Behavior|Reasonable Prices|Contactless Delivery|,Tandoori Malai Chaap|Panner Butter Masala|Mix Veg|Butter Naan|Raita|Malai Kofta|,North Indian|Chinese|Fast Food|,Dining|Delivery|Tandoori Malai Chaap|Panner Butter Masala|Mix Veg|Butter Naan|Raita|Malai Kofta|Inexpensive|Good Crowd|Food Delivery|Behavior|Reasonable Prices|Contactless Delivery|,Central Delhi
Jhakkas Bombay Pav Bhaji,"E-20, Shree Krishna Mandir, Central Market, Lajpat Nagar 1, New Delhi",+919818181829,4.0,200,Drive through|Chirpy Crowd|Good Portions|Cozy Ambiance|Street Food|Great Recommendations|,,Street Food|Maharashtrian|North Indian|Pizza|Sandwich|Beverages|,Dining|Delivery|Drive through|Chirpy Crowd|Good Portions|Cozy Ambiance|Street Food|Great Recommendations|,Central Delhi
Burger King,"E-8, Inner Circle, Connaught Place, New Delhi",+911143509889,4.2,400,Menu Choice|Staff Behavior|Economical|Casual Seating Area|Nice Crowd|Good Crowd|,Chicken Royale|Chic Burger|Mutton Whoppers|Blueberry Blast|Keema Crunch|King Size Burger|,Burger|Fast Food|Street Food|,Dining|Delivery|Chicken Royale|Chic Burger|Mutton Whoppers|Blueberry Blast|Keema Crunch|King Size Burger|Menu Choice|Staff Behavior|Economical|Casual Seating Area|Nice Crowd|Good Crowd|,Central Delhi
Delhi Darbar Dhaba,"7, NDMC Market, Babar Road, Near Bengali Market, Mandi House, New Delhi",+911123324300,3.6,200,Preparation|Awesome Food|Location|Portion|Tasty Food|Price|,,North Indian|Chinese|Fast Food|Mughlai|,Preparation|Awesome Food|Location|Portion|Tasty Food|Price|,Central Delhi
Hira Sweets,"K 19/21, Connaught Place, New Delhi",+919136587253,4.2,500,South Indian Menu|Nice/Colourful Packaging|Parking Space Available|Hygienic Place|Pocket Friendly Place|Family Restaurant|,Paneer Dhokla|Kalakand|Deluxe Thali|Rasgulla|Raj Kachori|Rajma Rice|,Mithai|North Indian|South Indian|Chinese|Street Food|,Dining|Delivery|Paneer Dhokla|Kalakand|Deluxe Thali|Rasgulla|Raj Kachori|Rajma Rice|South Indian Menu|Nice/Colourful Packaging|Parking Space Available|Hygienic Place|Pocket Friendly Place|Family Restaurant|,Central Delhi
Sandoz,"L-9, Ground Floor, Connaught Place, New Delhi",+918595951359,4.2,800,Good Staffs|Seating Inside|Quantity of Portion|Staff Politeness|Service is Great and Fast|Authentic|,Fruit Punch Mocktail|Bhatti Chicken|Handi Chicken|Manchurian|Virgin Mojito|Garlic Naan|,North Indian|Chinese|Fast Food|Mughlai|Rolls|Continental|Beverages|,Dining|Delivery|Fruit Punch Mocktail|Bhatti Chicken|Handi Chicken|Manchurian|Virgin Mojito|Garlic Naan|Good Staffs|Seating Inside|Quantity of Portion|Staff Politeness|Service is Great and Fast|Authentic|,Central Delhi
Sita Ram Diwan Chand,"2243, Chuna Mandi, Raj Guru Road, Paharganj, New Delhi",+911123587380,4.1,0,Paneer Bhatura|Meethi Lassi|Chana Kulcha|Chola Bhatura|Healthy Breakfast|Kulfi|,Legendary choley bhature|,North Indian|,Dining|Delivery|Paneer Bhatura|Meethi Lassi|Chana Kulcha|Chola Bhatura|Healthy Breakfast|Kulfi|Bang for the Buck|Clean Place|Pocket Friendly|Good Hygiene|Hygienic Place|Street Food|,Central Delhi
Swagat Dhaba,"5137, Main Bazaar, Paharganj, New Delhi",+918929734255,4.1,300,Wonderful Presentation|Proper Packaging|Timely Service|Good Food|Price|Great Portions|,,North Indian|,Dining|Delivery|Wonderful Presentation|Proper Packaging|Timely Service|Good Food|Price|Great Portions|,Central Delhi
Nukkad Ramji Samosa Wala,"2E/6, Moti Bhavan, Near Jhandewalan Metro Station Gate 2, Karol Bagh, New Delhi",+919899105636,3.9,50,,,Chinese|Street Food|North Indian|,,Central Delhi
